clave provincinombre establecimiento                                           localidad                              tipo organización
0001EE0515    ESCUELA ESPECIAL Nº515 "LIC.ELINA TEJERINA DE WALSH"             MANUEL B. GONNET                       ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0515    ESCUELA ESPECIAL Nº515 "LIC.ELINA TEJERINA DE WALSH"             MANUEL B. GONNET                       ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0516    ESCUELA ESPECIAL Nº516                                           MELCHOR ROMERO                         ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0516    ESCUELA ESPECIAL Nº516                                           MELCHOR ROMERO                         ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0516    ESCUELA ESPECIAL Nº516                                           MELCHOR ROMERO                         ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0516    ESCUELA ESPECIAL Nº516                                           MELCHOR ROMERO                         ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0517    ESCUELA ESPECIAL Nº517                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0517    ESCUELA ESPECIAL Nº517                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0517    ESCUELA ESPECIAL Nº517                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0518    ESCUELA ESPECIAL Nº518                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0518    ESCUELA ESPECIAL Nº518                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0518    ESCUELA ESPECIAL Nº518                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0524    ESCUELA ESPECIAL Nº524 "HELEN KELLER"                            LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0524    ESCUELA ESPECIAL Nº524 "HELEN KELLER"                            LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0524    ESCUELA ESPECIAL Nº524 "HELEN KELLER"                            LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0524    ESCUELA ESPECIAL Nº524 "HELEN KELLER"                            LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0526    ESCUELA ESPECIAL Nº526 "JOHN F. KENNEDY"                         LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0527    ESCUELA ESPECIAL Nº527 "BARBARA GONZALEZ DE SOTO"                LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0527    ESCUELA ESPECIAL Nº527 "BARBARA GONZALEZ DE SOTO"                LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0527    ESCUELA ESPECIAL Nº527 "BARBARA GONZALEZ DE SOTO"                LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0527    ESCUELA ESPECIAL Nº527 "BARBARA GONZALEZ DE SOTO"                LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0528    ESCUELA ESPECIAL Nº528 "PUERTO ARGENTINO"                        LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0528    ESCUELA ESPECIAL Nº528 "PUERTO ARGENTINO"                        LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0528    ESCUELA ESPECIAL Nº528 "PUERTO ARGENTINO"                        LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0528    ESCUELA ESPECIAL Nº528 "PUERTO ARGENTINO"                        LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0529    ESCUELA ESPECIAL Nº529                                           MELCHOR ROMERO                         ESCUELA DE EDUCACIÓN ESPECIAL
