clave provincinombre establecimiento                                           localidad                              tipo organización
0073JI0934    JARDIN DE INFANTES Nº934                                         MARIANO MORENO                         JARDÍN DE INFANTES
0073JI0935    JARDIN DE INFANTES Nº935 "25 DE MAYO"                            MARIANO MORENO                         JARDÍN DE INFANTES
0073JI0936    JARDIN DE INFANTES Nº936 "SARA TRUEVA"                           FRANCISCO ALVAREZ                      JARDÍN DE INFANTES
0073JI0937    JARDIN DE INFANTES Nº937 "LOLA MORA"                             FRANCISCO ALVAREZ                      JARDÍN DE INFANTES
0073JI0938    JARDIN DE INFANTES Nº938 MADRE CLARA                             MARIANO MORENO                         JARDÍN DE INFANTES
0073JI0939    JARDIN DE INFANTES Nº939 "MARIA EVA DUARTE"                      CUARTEL V                              JARDÍN DE INFANTES
0073JI0940    JARDIN DE INFANTES Nº940 "JOSE HERNANDEZ"                        NO FIGURA EN TABLA                     JARDÍN DE INFANTES
0073JI0941    JARDIN DE INFANTES Nº941 "MADRE TERESA DE CALCUTA"               TRUJUI                                 JARDÍN DE INFANTES
0073JI0942    JARDIN DE INFANTES Nº942                                         CUARTEL V                              JARDÍN DE INFANTES
0073JI0943    JARDIN DE INFANTES Nº943 "HEROES DE MALVINAS"                    FRANCISCO ALVAREZ                      JARDÍN DE INFANTES
0073JI0944    JARDIN DE INFANTES Nº944 "JUANITO LAGUNA"                        MARIANO MORENO                         JARDÍN DE INFANTES
0073JI0945    JARDIN DE INFANTES Nº945 "CAPITAN BRIGADIER G. GARCIA CUERVA     MARIANO MORENO                         JARDÍN DE INFANTES
0073JI0946    JARDIN DE INFANTES Nº946 "ANTONIO BERNI"                         MARIANO MORENO                         JARDÍN DE INFANTES
0073JI0947    JARDIN DE INFANTES Nº947 "MARINA MARGARITA RAVIOLI"              MARIANO MORENO                         JARDÍN DE INFANTES
0073JI0948    JARDIN DE INFANTES Nº948                                         CUARTEL V                              JARDÍN DE INFANTES
0073JI0949    JARDIN DE INFANTES Nº949 "OLGA COSSETTINI"                       MARIANO MORENO                         JARDÍN DE INFANTES
0073JI0950    JARDIN DE INFANTES Nº950 "QUEBRADA DE HUMAHUACA"                 TRUJUI                                 JARDÍN DE INFANTES
0073JI0951    JARDIN DE INFANTES Nº951 "OMAÑA PE MITA"                         MARIANO MORENO                         JARDÍN DE INFANTES
0073JI0952    JARDIN DE INFANTES Nº952                                         CUARTEL V                              JARDÍN DE INFANTES
0073JI0953    JARDIN DE INFANTES Nº953                                         MORENO                                 JARDÍN DE INFANTES
0073JI0954    JARDIN DE INFANTES Nº954 "MALVINAS ARGENTINAS"                   MARIANO MORENO                         JARDÍN DE INFANTES
0073JI0955    JARDIN DE INFANTES Nº955 "RICARDO GÜIRALDES"                     MORENO                                 JARDÍN DE INFANTES
0073JI0956    JARDIN DE INFANTES Nº956 "EDUARDO MANSILLA DE GARCIA"            PASO DEL REY                           JARDÍN DE INFANTES
0073JI0957    JARDIN DE INFANTES Nº957 "28 DE MAYO"                            CASCO SALAS                            JARDÍN DE INFANTES
0073JI0958    JARDIN DE INFANTES Nº958                                         LOMAS DE CASASCO                       JARDÍN DE INFANTES
0073JI0959    JARDIN DE INFANTES Nº959                                         LA PERLA                               JARDÍN DE INFANTES
0073JI0960    JARDIN DE INFANTES Nº960                                         MARIANO MORENO                         JARDÍN DE INFANTES
0073JI0961    JARDIN DE INFANTES Nº961                                         B.STA.BRIGIDA                          JARDÍN DE INFANTES
0073JI0962    JARDIN DE INFANTES Nº962                                         MORENO                                 JARDÍN DE INFANTES
0073JI0963    JARDÍN DE INFANTES Nº963                                         MORENO                                 JARDÍN DE INFANTES
0073JI0964    JARDÍN DE INFANTES Nº964                                         CUARTEL V                              JARDÍN DE INFANTES
0073JI0965    JARDÍN DE INFANTES N° 965                                        TRUJUI                                 JARDÍN DE INFANTES
0073MM0014    ESCUELA POLIMODAL Nº14 "FRANCISCO DE ASIS"                       MORENO                                 ESCUELA DE EDUCACIÓN MEDIA
0073MM0014    ESCUELA POLIMODAL Nº14 "FRANCISCO DE ASIS"                       MORENO                                 ESCUELA DE EDUCACIÓN MEDIA
0073MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 "MANUEL BELGRANO"            MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0002    ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 "MARINA VILTE"               MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0002    ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 "MARINA VILTE"               MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0003    ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 "JOSE HERNANDEZ"             PASO DEL REY                           ESCUELA SECUNDARIA
0073MS0003    ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 "JOSE HERNANDEZ"             PASO DEL REY                           ESCUELA SECUNDARIA
0073MS0004    ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 "CRISTO OBRERO"              PASO DEL REY                           ESCUELA SECUNDARIA
0073MS0004    ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 "CRISTO OBRERO"              PASO DEL REY                           ESCUELA SECUNDARIA
0073MS0005    ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 "ALFREDO L. PALACIOS"        MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0005    ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 "ALFREDO L. PALACIOS"        MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0005    ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 "ALFREDO L. PALACIOS"        MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0006    ESCUELA DE EDUCACIÓN SECUNDARIA Nº6 "JUANA AZURDUY"              MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0006    ESCUELA DE EDUCACIÓN SECUNDARIA Nº6 "JUANA AZURDUY"              MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0006    ESCUELA DE EDUCACIÓN SECUNDARIA Nº6 "JUANA AZURDUY"              MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0007    ESCUELA DE EDUCACIÓN SECUNDARIA Nº7                              BARRIO SATELITE                        ESCUELA SECUNDARIA
0073MS0007    ESCUELA DE EDUCACIÓN SECUNDARIA Nº7                              BARRIO SATELITE                        ESCUELA SECUNDARIA
0073MS0010    ESCUELA DE EDUCACIÓN SECUNDARIA Nº10 "16 DE SETIEMBRE"           MORENO                                 ESCUELA SECUNDARIA
0073MS0011    ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 "MADRES Y ABUELAS DE PLAZA DFRANCISCO ALVAREZ                      ESCUELA SECUNDARIA
0073MS0011    ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 "MADRES Y ABUELAS DE PLAZA DFRANCISCO ALVAREZ                      ESCUELA SECUNDARIA
0073MS0012    ESCUELA DE EDUCACIÓN SECUNDARIA Nº12 "CATARATAS DEL IGUAZU"      TRUJUI                                 ESCUELA SECUNDARIA
0073MS0012    ESCUELA DE EDUCACIÓN SECUNDARIA Nº12 "CATARATAS DEL IGUAZU"      TRUJUI                                 ESCUELA SECUNDARIA
0073MS0013    ESCUELA DE EDUCACIÓN SECUNDARIA Nº13 "CECILIA GRIERSON"          MORENO                                 ESCUELA SECUNDARIA
0073MS0013    ESCUELA DE EDUCACIÓN SECUNDARIA Nº13 "CECILIA GRIERSON"          MORENO                                 ESCUELA SECUNDARIA
0073MS0015    ESCUELA DE EDUCACIÓN SECUNDARIA Nº15 "MARIA CRISTINA COURNOU"    PASO DEL REY                           ESCUELA SECUNDARIA
0073MS0015    ESCUELA DE EDUCACIÓN SECUNDARIA Nº15 "MARIA CRISTINA COURNOU"    PASO DEL REY                           ESCUELA SECUNDARIA
0073MS0016    ESCUELA DE EDUCACIÓN SECUNDARIA Nº16 "FLORENCIO MOLINA CAMPOS"   MORENO                                 ESCUELA SECUNDARIA
0073MS0016    ESCUELA DE EDUCACIÓN SECUNDARIA Nº16 "FLORENCIO MOLINA CAMPOS"   MORENO                                 ESCUELA SECUNDARIA
0073MS0021    ESCUELA DE EDUCACIÓN SECUNDARIA Nº21"M.MORENO"                   MORENO                                 ESCUELA SECUNDARIA
0073MS0021    ESCUELA DE EDUCACIÓN SECUNDARIA Nº21"M.MORENO"                   MORENO                                 ESCUELA SECUNDARIA
0073MS0022    ESCUELA DE EDUCACIÓN SECUNDARIA Nº22                             MORENO                                 ESCUELA SECUNDARIA
0073MS0023    ESCUELA DE EDUCACIÓN SECUNDARIA Nº23                             MORENO                                 ESCUELA SECUNDARIA
0073MS0023    ESCUELA DE EDUCACIÓN SECUNDARIA Nº23                             MORENO                                 ESCUELA SECUNDARIA
0073MS0024    ESCUELA DE EDUCACIÓN SECUNDARIA Nº24                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0025    ESCUELA DE EDUCACIÓN SECUNDARIA Nº25                             TRUJUI                                 ESCUELA SECUNDARIA
0073MS0027    ESCUELA DE EDUCACIÓN SECUNDARIA Nº27                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0028    ESCUELA DE EDUCACIÓN SECUNDARIA Nº28                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0029    ESCUELA DE EDUCACIÓN SECUNDARIA Nº29                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0030    ESCUELA DE EDUCACIÓN SECUNDARIA Nº30                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0031    ESCUELA DE EDUCACIÓN SECUNDARIA Nº31                             PASO DEL REY                           ESCUELA SECUNDARIA
0073MS0032    ESCUELA DE EDUCACIÓN SECUNDARIA Nº32                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0033    ESCUELA DE EDUCACIÓN SECUNDARIA Nº33                             MORENO                                 ESCUELA SECUNDARIA
0073MS0034    ESCUELA DE EDUCACIÓN SECUNDARIA Nº34                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0035    ESCUELA DE EDUCACIÓN SECUNDARIA Nº35                             FRANCISCO ALVAREZ                      ESCUELA SECUNDARIA
0073MS0035    ESCUELA DE EDUCACIÓN SECUNDARIA Nº35                             FRANCISCO ALVAREZ                      ESCUELA SECUNDARIA
0073MS0036    ESCUELA DE EDUCACIÓN SECUNDARIA Nº36                             PASO DEL REY                           ESCUELA SECUNDARIA
0073MS0037    ESCUELA DE EDUCACIÓN SECUNDARIA Nº37                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0038    ESCUELA DE EDUCACIÓN SECUNDARIA Nº38                             PASO DEL REY                           ESCUELA SECUNDARIA
0073MS0039    ESCUELA DE EDUCACIÓN SECUNDARIA Nº39                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0040    ESCUELA DE EDUCACIÓN SECUNDARIA Nº40                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0041    ESCUELA DE EDUCACIÓN SECUNDARIA N°41                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0042    ESCUELA DE EDUCACIÓN SECUNDARIA Nº42                             PASO DEL REY                           ESCUELA SECUNDARIA
0073MS0043    ESCUELA DE EDUCACIÓN SECUNDARIA Nº43                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0044    ESCUELA DE EDUCACIÓN SECUNDARIA Nº44                             FRANCISCO ALVAREZ                      ESCUELA SECUNDARIA
0073MS0045    ESCUELA DE EDUCACIÓN SECUNDARIA Nº45                             FRANCISCO ALVAREZ                      ESCUELA SECUNDARIA
0073MS0046    ESCUELA DE EDUCACIÓN SECUNDARIA Nº46                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0049    ESCUELA DE EDUCACIÓN SECUNDARIA N°49                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0051    ESCUELA DE EDUCACIÓN SECUNDARIA N°51                             TRUJUI                                 ESCUELA SECUNDARIA
0073MS0052    ESCUELA DE EDUCACIÓN SECUNDARIA N° 52                            MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0053    ESCUELA DE EDUCACIÓN SECUNDARIA N°53                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0054    ESCUELA DE EDUCACIÓN SECUNDARIA N° 54                            CUARTEL V                              ESCUELA SECUNDARIA
0073MS0055    ESCUELA DE EDUCACIÓN SECUNDARIA N°55                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0056    ESCUELA DE EDUCACIÓN SECUNDARIA N°56                             FRANCISCO ALVAREZ                      ESCUELA SECUNDARIA
0073MS0057    ESCUELA DE EDUCACIÓN SECUNDARIA N°57                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0058    ESCUELA DE EDUCACIÓN SECUNDARIA N°58                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0059    ESCUELA DE EDUCACIÓN SECUNDARIA N°59                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0060    ESCUELA DE EDUCACIÓN SECUNDARIA N°60                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0061    ESCUELA DE EDUCACIÓN SECUNDARIA N°61                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0062    ESCUELA DE EDUCACIÓN SECUNDARIA N°62                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0063    ESCUELA DE EDUCACIÓN SECUNDARIA Nº63                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0064    ESCUELA DE EDUCACIÓN SECUNDARIA N°64                             MI BARRIO                              ESCUELA SECUNDARIA
0073MS0065    ESCUELA DE EDUCACIÓN SECUNDARIA N°65                             BARRIO JARDINES I                      ESCUELA SECUNDARIA
0073MS0066    ESCUELA DE EDUCACIÓN SECUNDARIA N°66                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0067    ESCUELA DE EDUCACIÓN SECUNDARIA N°67                             CUARTEL V                              ESCUELA SECUNDARIA
0073MS0068    ESCUELA DE EDUCACIÓN SECUNDARIA N°68                             B.STA.BRIGIDA                          ESCUELA SECUNDARIA
0073MS0069    ESCUELA DE EDUCACIÓN SECUNDARIA N°68                             CUARTEL V                              ESCUELA SECUNDARIA
0073MS0070    ESCUELA DE EDUCACIÓN SECUNDARIA Nº70                             BARRIO SATELITE                        ESCUELA SECUNDARIA
0073MS0071    ESCUELA DE EDUCACIÓN SECUNDARIA Nº71                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0072    ESCUELA DE EDUCACIÓN SECUNDARIA Nº 72                            MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0074    ESCUELA DE EDUCACIÓN SECUNDARIA Nº74                             MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS0075    ESC. SECUNDARIA BASICA Nº55                                      FRANCISCO ALVAREZ                      ESCUELA SECUNDARIA BÁSICA
0073MS0076    ESCUELA DE EDUCACIÓN SECUNDARIA Nº76                             LA VICTORIA                            ESCUELA SECUNDARIA
0073MS3051    ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº5                   MORENO                                 ESCUELA SECUNDARIA
0073MS3161    ANEXO Nº1 DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº16                MARIANO MORENO                         ESCUELA SECUNDARIA
0073MS3671    ESCUELA DE EDUCACIÓN SECUNDARIA N°67 - ANEXO I                   FRANCISCO ALVAREZ                      ESCUELA SECUNDARIA
0073MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 "GENERAL NICOLÁS MANUMORENO                                 ESCUELA TÉCNICA
0073MT0001    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 "GENERAL NICOLÁS MANUMORENO                                 ESCUELA TÉCNICA
0073MT0002    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 "GENDARMERÍA NACIONALMORENO                                 ESCUELA TÉCNICA
0073MT0002    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 "GENDARMERÍA NACIONALMORENO                                 ESCUELA TÉCNICA
0073MT0003    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº3                      TRUJUI                                 ESCUELA TÉCNICA
0073MT0004    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº4 "MARÍA EVA DUARTE DE LA REJA                                ESCUELA TÉCNICA
0073MT0004    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº4 "MARÍA EVA DUARTE DE LA REJA                                ESCUELA TÉCNICA
0073MT0005    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº5 "PRESIDENTE JUAN D. PCUARTEL V                              ESCUELA TÉCNICA
0073MT0005    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº5 "PRESIDENTE JUAN D. PCUARTEL V                              ESCUELA TÉCNICA
0073PP0001    ESCUELA DE EDUCACIÓN PRIMARIA Nº1 "DOMINGO FAUSTINO SARMIENTO"   MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0002    ESCUELA DE EDUCACIÓN PRIMARIA Nº2 "HIPOLITO YRIGOYEN"            PASO DEL REY                           ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0003    ESCUELA DE EDUCACIÓN PRIMARIA Nº3 "GENERAL JOSE DE SAN MARTIN"   MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0004    ESCUELA DE EDUCACIÓN PRIMARIA Nº4 "JUAN BAUTISTA ALBERDI"        MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0005    ESCUELA DE EDUCACIÓN PRIMARIA Nº5 "MARIANO MORENO"               MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0006    ESCUELA DE EDUCACIÓN PRIMARIA Nº6 "PAULA ALBARRACIN DE SARMIENTO"MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0007    ESCUELA DE EDUCACIÓN PRIMARIA Nº7 "ANTARTIDA ARGENTINA"          LA REJA                                ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0008    ESCUELA DE EDUCACIÓN PRIMARIA Nº8 "SARGENTO EDUARDO ROMERO"      TRUJUI                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0009    ESCUELA DE EDUCACIÓN PRIMARIA Nº9 "JOSE MANUEL ESTRADA"          PASO DEL REY                           ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0010    ESCUELA DE EDUCACIÓN PRIMARIA Nº10 "NEMESIO ALVAREZ"             FRANCISCO ALVAREZ                      ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0011    ESCUELA DE EDUCACIÓN PRIMARIA Nº11 "EL LIBERTADOR"               MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0012    ESCUELA DE EDUCACIÓN PRIMARIA Nº12 "VICENTA CASTRO CAMBON"       FRANCISCO ALVAREZ                      ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0013    ESCUELA DE EDUCACIÓN PRIMARIA Nº13 "RIGOBERTO SEGADO"            MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0014    ESCUELA DE EDUCACIÓN PRIMARIA Nº14 "JOSE INGENIEROS"             MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0015    ESCUELA DE EDUCACIÓN PRIMARIA Nº15 "SARGENTO CABRAL"             FRANCISCO ALVAREZ                      ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0016    ESCUELA DE EDUCACIÓN PRIMARIA Nº16 "ESTADOS UNIDOS DE NORTE AMERIPASO DEL REY                           ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0017    ESCUELA DE EDUCACIÓN PRIMARIA Nº17 "AMANCIO ALCORTA"             MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0018    ESCUELA DE EDUCACIÓN PRIMARIA Nº18 "JUAN MARTIN DE PUEYRREDON"   PASO DEL REY                           ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0019    ESCUELA DE EDUCACIÓN PRIMARIA Nº19 "JOSE HERNANDEZ"              MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0020    ESCUELA DE EDUCACIÓN PRIMARIA Nº20 "FLORENCIO MOLINA CAMPOS"     MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0021    ESCUELA DE EDUCACIÓN PRIMARIA Nº21 "MAESTRA MARIA ELENA UHART"   MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0022    ESCUELA DE EDUCACIÓN PRIMARIA Nº22 "BERNARDINO RIVADAVIA"        MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0023    ESCUELA DE EDUCACIÓN PRIMARIA Nº23 "REPUBLICA DE VENEZUELA"      LA REJA                                ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0024    ESCUELA DE EDUCACIÓN PRIMARIA Nº24 "DR. JOSE GIORDANELLI"        MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0025    ESCUELA DE EDUCACIÓN PRIMARIA Nº25 "MARIA LUISA LASTRETO DE GIRALMORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0026    ESCUELA DE EDUCACIÓN PRIMARIA Nº26 "RICARDO GÜIRALDES"           FRANCISCO ALVAREZ                      ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0027    ESCUELA DE EDUCACIÓN PRIMARIA Nº27 "FUERZA AEREA"                MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0028    ESCUELA DE EDUCACIÓN PRIMARIA Nº28 "MARCOS DEL BUENO"            MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0029    ESCUELA DE EDUCACIÓN PRIMARIA Nº29 "MANUEL NICOLAS SAVIO"        FRANCISCO ALVAREZ                      ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0030    ESCUELA DE EDUCACIÓN PRIMARIA Nº30 "MARTIN FIERRO"               MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0031    ESCUELA DE EDUCACIÓN PRIMARIA Nº31 "DARDO ROCHA"                 MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0032    ESCUELA DE EDUCACIÓN PRIMARIA Nº32 "REPUBLICA DE ITALIA"         PASO DEL REY                           ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0033    ESCUELA DE EDUCACIÓN PRIMARIA Nº33 "MIGUEL CANE"                 MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0034    ESCUELA DE EDUCACIÓN PRIMARIA Nº34 "COMBATE DE SAN LORENZO"      MARIANO MORENO                         ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0035    ESCUELA DE EDUCACIÓN PRIMARIA Nº35 "DR. RICARDO GUTIERREZ"       MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0036    ESCUELA DE EDUCACIÓN PRIMARIA Nº36 "ESTADOS UNIDOS MEXICANOS"    MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0037    ESCUELA DE EDUCACIÓN PRIMARIA Nº37 "DR. ROQUE SAENZ PEÑA"        TRUJUI                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0038    ESCUELA DE EDUCACIÓN PRIMARIA Nº38 "ROSARIO VERA PEÑALOZA"       MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0039    ESCUELA DE EDUCACIÓN PRIMARIA Nº39 "BALDOMERO FERNANDEZ MORENO"  MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0040    ESCUELA DE EDUCACIÓN PRIMARIA Nº40 "12 DE OCTUBRE"               MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0041    ESCUELA DE EDUCACIÓN PRIMARIA Nº41 "DOCTOR CARLOS PELLEGRINI"    MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0042    ESCUELA DE EDUCACIÓN PRIMARIA Nº42 "DR. ANTONIO EZEQUIEL MALAVER"MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0043    ESCUELA DE EDUCACIÓN PRIMARIA Nº43 "JOSE MARMOL"                 MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0044    ESCUELA DE EDUCACIÓN PRIMARIA Nº44 "ISLAS MALVINAS"              PASO DEL REY                           ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0045    ESCUELA DE EDUCACIÓN PRIMARIA Nº45 "ESTEBAN ECHEVERRIA"          TRUJUI                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0046    ESCUELA DE EDUCACIÓN PRIMARIA Nº46 "MARTIN MIGUEL DE GÜEMES"     MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0047    ESCUELA DE EDUCACIÓN PRIMARIA Nº47 "BRIG. GRAL. DON JUAN MANUEL DMORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0048    ESCUELA DE EDUCACIÓN PRIMARIA Nº48 "JOAQUIN TIRADENTES"          FRANCISCO ALVAREZ                      ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0049    ESCUELA DE EDUCACIÓN PRIMARIA Nº49 "NICOLAS AVELLANEDA"          VILLA ABERASTURY                       ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0050    ESCUELA DE EDUCACIÓN PRIMARIA Nº50 "PABLO PIZZURNO"              MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0051    ESCUELA DE EDUCACIÓN PRIMARIA Nº51 "JULIA ICAGLIA"               MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0052    ESCUELA DE EDUCACIÓN PRIMARIA Nº52 "GENERAL JUSTO JOSE DE URQUIZAMORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0053    ESCUELA DE EDUCACIÓN PRIMARIA Nº53 "PROVINCIA DE TUCUMAN"        MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0054    ESCUELA DE EDUCACIÓN PRIMARIA Nº54 "JORGE NEWBERY"               MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0055    ESCUELA DE EDUCACIÓN PRIMARIA Nº55 "MAESTRO ANTONIO LAMBIN"      MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0056    ESCUELA DE EDUCACIÓN PRIMARIA Nº56 "MAESTRA JUANA M.GIORDANELLI DMORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0057    ESCUELA DE EDUCACIÓN PRIMARIA Nº57                               MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0058    ESCUELA DE EDUCACIÓN PRIMARIA Nº58                               MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0059    ESCUELA DE EDUCACIÓN PRIMARIA Nº59 "DR. ALBERTO VERA"            MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0060    ESCUELA DE EDUCACIÓN PRIMARIA Nº60 "EVA PERON"                   TRUJUI                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0061    ESCUELA DE EDUCACIÓN PRIMARIA Nº61 "BENITO QUINQUELA MARTIN"     L DE MARILO                            ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0062    ESCUELA DE EDUCACIÓN PRIMARIA Nº62 "JUANA PAULA MANSO"           MORENO                                 ESCUELA DE EDUCACIÓN PRIMARIA
0073PP0063    ESCUELA DE EDUCACIÓN PRIMARIA Nº63 "DR.EUGENIO ASCONAPE"         MARIANO MORENO                         ESCUELA DE EDUCACIÓN PRIMARIA
